locationDbId,locationType,name,abbreviation,countryCode,countryName,latitude,longitude,altitude
1,Storage location,Experimental station San Ramon (CIP),CIPSRM-1,PER,Peru,-11.1275,-75.356389,828
2,Breeding location,San Ramon,CIPSRM-2,PER,Peru,-11.16116,-75.34171,964
3,Storage location,Experimental station CIP headquarters,CIPHQ,PER,Peru,-12.076289,-76.948417,244
4,Farmer field location,Gurue,GURUE,MOZ,Mozambique,-15.4669,36.9777,701
5,Breeding location,Umbeluzi,UMBEL,MOZ,Mozambique,-26.0283,32.39,7
6,Breeding location,Marankiari,MARANK,PER,Peru,-10.96096,-75.22065,717
7,Breeding location,Shirani,SHIRANI,PER,Peru,-10.931809,-74.855467,484
8,Farmer field location,Betania Alta,BETALT,PER,Peru,-11.05304,-73.75254,252
9,Farmer field location,Betania Baja,BETBAJ,PER,Peru,-11.05304,-73.75254,252
10,Breeding location,Nuevaluz Oviri,OVIRI,PER,Peru,-11.25847,-73.82075,276
11,Breeding location,Puerto Ocopa,PTOCOPA,PER,Peru,-11.14639,-74.30748,323
12,Breeding location,San Pedro,SNPEDRO,PER,Peru,-11.30817,-74.69242,758
13,Farmer field location,Fumesua,FUMESUA,GHA,Ghana,6.71,-1.572,288
14,Farmer field location,Komenda,KOMENDA,GHA,Ghana,5.123,-1.462,26
15,Farmer field location,Tono dam,TONO,GHA,Ghana,10.87,-1.1466,183
16,Storage location,National Crops Resources Research Institute,NaCRRI,UGA,Uganda,0.529144,32.61246,1173
17,Storage location,National Semi-Arid Resources Research Institute,NaSARRI,UGA,Uganda,1.528,33.616,1067
